District Code,Tehsil Code,Village Code,Village Name
162,01026,148540,मिर्जापुर खुर्द
162,01026,148537,मिर्जापुर मुवाहिज
162,01026,148730,मिश्रपुर प्रताप सिह
162,01026,148725,मिश्रपुर मानिकचन्द मुस्तकिल
162,01026,148529,मीरपुर पीतम सिंह
162,01026,148453,मुडैना रूप शाह
162,01026,217838,मुरदना
162,01026,148500,मुहीउद्दीनपुर
162,01026,148470,मौहारी
162,01026,148685,रजपुरा
162,01026,148506,रतनपुर गढि़या
162,01026,148509,रसूलपुर कला
162,01026,148693,रसूल पुर खुर्द
162,01026,148474,रसूलपुर सुजानसिंह
162,01026,148501,रहमापुर
162,01026,217842,राजन्दाजनगर
162,01026,148488,रामनगर
162,01026,148448,रामपुर खुदापुर
162,01026,148696,रामपुरप्रताप सिंह मुस्‍तकिल
162,01026,148507,रुरुआ औरैया
162,01026,148739,रोंशगपुर
162,01026,148454,लालपुर
162,01026,148518,विरुहूनी
162,01026,148522,विलावा
162,01026,148497,वेरीकपरिया
162,01026,148533,व्यौरानवलपुर
162,01026,148475,शहवाजपुर
162,01026,148494,शाहपुर
162,01026,217845,शाहपुर तुमरिहा
162,01026,148451,शाहपुरबेदी
162,01026,148443,शेखूपुर अधार सिंह
162,01026,148528,शेखूपुर जैनपुर
162,01026,217846,शेरन्दाजनगर
162,01026,148513,शौहरीगढि़या
162,01026,148724,सडरापुर
162,01026,148521,सतहड़ी
162,01026,148444,सबलपुर
162,01026,148493,सराय अमिलिया
162,01026,148532,सराय टडवा
162,01026,217848,सराय बाबरपुर
162,01026,148692,सराँय बीबी
162,01026,148458,सलेमपुर राजकुमार
162,01026,148746,सलैया
162,01026,148504,सांफर
162,01026,217850,सिकरोडी अहितमाली
162,01026,148468,सिकरौडी मुस्‍तकिल
162,01026,148466,सिमार मुस्तकिल
162,01026,148512,सुअटपुर
162,01026,148830,सुदनीपुर
162,01026,148534,सुरजनपुर
162,01026,148462,सुरायंधा
162,01026,148505,सेऊपुर
162,01026,148550,सेंगनपुट्ठा
162,01026,148502,सैदपुर
162,01026,148456,सोनासी
162,01026,148472,हजरतपुर
162,01026,148736,हसुलिया
162,01026,148686,हाजीपुर
162,01026,148452,हाफिजपुर
162,01026,148515,हालेपुर
162,01026,148545,हुसैनपुर
162,01026,148539,हैदरपुर
162,00842,148631,अकबरपुर डाड़ा
162,00842,148769,अजनपुर
162,00842,148656,अटा
162,00842,148562,अधासी
162,00842,148585,अलीपुरकमालपुर
162,00842,148628,अल्लापुर
162,00842,148792,आनेपुर
162,00842,148604,आमपुर
162,00842,148826,इकौरापुर
162,00842,148664,इटहा
162,00842,148756,इंगुठिया
162,00842,148755,उद्यमपुर
162,00842,148669,उधौपुर
162,00842,148591,उमरी
162,00842,148600,उसरारी
162,00842,148668,ऊमरसाना
162,00842,217676,औरैया
162,00842,148592,ककराही
162,00842,148665,ककोर बुजुर्ग
162,00842,148808,कखावतू
162,00842,148622,कनौती
162,00842,148759,कबीर पुर
162,00842,148750,करमपुर
162,00842,148641,करही
162,00842,148778,कलापुर
162,00842,148645,काजीपुर
162,00842,217678,कादल पुर
162,00842,148621,कुठर्रा
162,00842,148610,कुड़रा
162,00842,217679,कुतुबपुर
162,00842,148836,कुम्हापुर
162,00842,148785,कुल्हूपुर
162,00842,148654,केशमपुर खाम
162,00842,148589,केंजरी
162,00842,148614,कोठीपुर
162,00842,148673,कंचौसी
162,00842,148849,क्योटरा मुस्तकिल
162,00842,148584,खगीपुर
162,00842,148661,खजुहा
162,00842,148788,खरका मुस्तकिल
162,00842,148577,खानपुर फफूँद
162,00842,148648,खोयला
162,00842,148745,गढ़ा मानिक चन्द
162,00842,148772,गढि़या बक्शीराम
162,00842,148634,गदनपुर
162,00842,148652,गमना मऊ
162,00842,148840,गाजीपुर ईश्वरी प्रसाद
162,00842,148612,गुजरी पुर
162,00842,148786,गुदरी
162,00842,148719,गूजरी
162,00842,148644,गोपाल पुर
162,00842,148570,गोबिन्दपुर
162,00842,148787,गोंहना
162,00842,148671,गौरी गंगा प्रसाद
162,00842,148842,चककुबेर
162,00842,148567,चकसाहू
162,00842,148776,चन्दनापुरहुलासराय
162,00842,148681,चपौली
162,00842,148601,चमरौआ
162,00842,148817,चिचौली
162,00842,148609,चिरुहुलिया
162,00842,148773,चिरु हूली
162,00842,148718,चौकी
